frequency_hz,amplitude,power
36.06965174129354,10.756625,115.70499
36.194029850746276,12.135098,147.26062
36.31840796019901,21.363642,456.40518
36.442786069651746,11.312361,127.969505
36.56716417910448,3.270045,10.693194
36.691542288557216,7.8607407,61.791245
36.81592039800996,22.921045,525.3743
36.94029850746269,21.95007,481.80554
37.06467661691543,3.82296,14.615023
37.18905472636816,31.94357,1020.3916
37.3134328358209,29.848726,890.9465
37.43781094527364,4.821769,23.249458
37.562189054726375,17.932938,321.59024
37.68656716417911,15.80745,249.87549
37.810945273631845,17.736605,314.58716
37.93532338308458,25.189865,634.5293
38.05970149253732,17.798027,316.76978
38.18407960199006,31.512989,993.0685
38.30845771144279,20.869566,435.5388
38.43283582089553,21.81485,475.88766
38.55721393034826,12.113842,146.74516
38.681592039801004,23.1823,537.41907
38.80597014925374,9.91943,98.39509
38.93034825870647,21.962877,482.36798
39.05472636815921,19.538555,381.75513
39.17910447761194,41.939125,1758.8903
39.30348258706468,22.951294,526.7619
39.42786069651742,44.900894,2016.0903
39.552238805970156,43.72022,1911.4575
39.67661691542289,32.11549,1031.4047
39.800995024875625,36.72992,1349.087
39.92537313432836,47.598583,2265.6252
40.0497512437811,60.304916,3636.6829
40.17412935323384,4.911246,24.120335
40.29850746268657,86.12691,7417.844
40.42288557213931,30.22673,913.6552
40.54726368159204,21.731638,472.2641
40.671641791044784,15.448757,238.6641
40.79601990049752,43.502052,1892.4286
40.920398009950254,25.275673,638.8596
41.04477611940299,60.916813,3710.8582
41.169154228855724,38.08268,1450.2905
41.29353233830847,41.81045,1748.1139
41.4179104477612,54.53749,2974.338
41.542288557213936,15.984442,255.50238
41.66666666666667,37.231033,1386.1499
41.791044776119406,15.071703,227.15623
41.91542288557215,43.132774,1860.4363
42.03980099502488,5.862357,34.36723
42.16417910447762,35.28459,1245.0024
42.28855721393035,28.468985,810.4831
42.41293532338309,26.914598,724.3956
42.53731343283582,14.369601,206.48544
42.661691542288565,22.307114,497.60733
42.7860696517413,13.929054,194.01855
42.910447761194035,57.325405,3286.2021
43.03482587064677,22.57828,509.77872
43.159203980099505,52.95804,2804.5537
43.28358208955225,46.50887,2163.075
43.40796019900498,8.865638,78.59953
43.53233830845772,44.588017,1988.0912
43.65671641791045,20.013075,400.52316
43.78109452736319,32.03427,1026.1946
43.90547263681593,27.773252,771.3536
