time_sec,amplitude
2.804,0.001226739
2.808,0.22408381
2.812,-0.074127324
2.816,-0.14999872
2.82,-0.07809742
2.824,0.2590762
2.828,-0.098517224
2.832,-0.1588746
2.836,0.25816956
2.84,-0.19834672
2.844,-0.20366418
2.848,0.23024577
2.852,-0.14235494
2.856,0.04690941
2.86,0.051847633
2.864,0.07170314
2.868,-0.10921258
2.872,-0.2111108
2.876,0.28611273
2.88,-0.16854301
2.884,-0.17460084
2.888,0.23262766
2.892,-0.05704093
2.896,0.12386893
2.9,0.08182751
2.904,0.114841685
2.908,-0.05053469
2.912,-0.1257258
2.916,0.16537438
2.92,-0.18384954
2.924,-0.12514444
2.928,0.09621546
2.932,-0.021739423
2.936,-0.02491181
2.94,-0.18663017
2.944,0.2345161
2.948,-0.18765223
2.952,-0.18859133
2.956,0.19429006
2.96,-0.027783537
2.964,0.16022302
2.968,0.006888218
2.972,0.19527853
2.976,-0.06640495
2.98,-0.103153035
2.984,0.1819921
2.988,-0.18068123
2.992,0.06742727
2.996,0.13042511
3.0,0.123082936
3.004,0.037926532
3.008,-0.17843787
3.012,0.15302575
3.016,-0.15656123
3.02,-0.016888842
3.024,0.1014923
3.028,-0.018825386
3.032,0.032537412
3.036,-0.17845973
3.04,0.124678575
3.044,-0.17825717
3.048,-0.13075307
3.052,0.15860026
3.056,-0.00627278
3.06,-0.0028815493
3.064,-0.10694782
3.068,0.10794698
3.072,-0.15151301
3.076,-0.15950967
3.08,0.16211176
3.084,-0.031645276
3.088,-0.07276909
3.092,-0.052725665
3.096,-0.05837708
3.1,0.13317096
3.104,-0.24362728
3.108,0.17674947
3.112,-0.103923276
3.116,0.072352484
3.12,0.018810786
3.124,-0.07863173
3.128,0.13802078
3.132,-0.21505603
3.136,0.20273337
3.14,-0.31563073
3.144,0.094561666
3.148,-0.039584897
3.152,0.055580966
3.156,0.10804355
3.16,-0.17856666
3.164,0.21527767
3.168,-0.32054406
3.172,0.12311327
3.176,-0.084909886
3.18,0.009272983
3.184,0.09983022
3.188,-0.25854385
3.192,0.24095055
3.196,-0.31359753
3.2,0.17150071
3.204,0.02978025
3.208,0.02220612
3.212,0.1498548
3.216,-0.2927565
3.22,0.23255476
3.224,0.033025276
3.228,0.07528008
3.232,0.06339835
3.236,-0.23147798
3.24,0.10176981
3.244,-0.21136726
3.248,0.061674446
3.252,0.045797788
3.256,-0.0332285
3.26,0.117187336
3.264,-0.21674833
3.268,0.16604906
3.272,-1.3211742e-05
3.276,0.10601729
3.28,0.11899785
3.284,-0.20075646
3.288,0.18998376
3.292,-0.183279
3.296,0.047036454
3.3,-0.022508183
3.304,-0.18531077
3.308,0.21484776
3.312,-0.20097843
3.316,0.12683651
3.32,0.10161221
3.324,-0.17356426
3.328,0.08180092
3.332,0.044041637
3.336,-0.02446127
3.34,-0.009702159
3.344,0.17864397
3.348,-0.059170716
3.352,-0.16334721
3.356,0.20591858
3.36,-0.058577284
3.364,-0.23803528
3.368,0.1389932
3.372,-0.027508311
3.376,-0.11508513
3.38,0.035020497
